Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C56H74N8O7,970.568046708,6.421100000000008,2,11,158.65,10,
C48H62N8O7S,894.4462173240001,5.720000000000006,2,12,168.29999999999998,10,550.0
C52H65F2N7O7,937.4913538600001,7.201100000000007,2,10,155.41,11,550.0
C51H64FN7O7,905.485125608,6.402600000000007,2,10,155.41,10,550.0
C51H65F3N8O7S,990.46490208,6.588100000000007,2,13,160.46,11,
C49H59F3N6O7,900.439732888,6.974000000000007,2,10,144.32999999999998,11,55.0
C50H62F2N6O7,896.4648047640002,7.369200000000008,2,10,144.32999999999996,12,5500.0
C55H71N7O7,941.5414976120001,6.733300000000007,2,11,147.56999999999996,11,55.0
C50H64N6O7S,892.455719388,7.851300000000009,2,12,161.81999999999996,12,550.0
C54H67F4N7O7,1001.503810364,7.270700000000008,2,11,147.57,11,
